facility_id,measure_id,value,footnote,start_date,end_date
10001,MSPB-1,0.985183,,01/01/2024,12/31/2024
10005,MSPB-1,1.003681,,01/01/2024,12/31/2024
10006,MSPB-1,1.009876,,01/01/2024,12/31/2024
10007,MSPB-1,1.044282,,01/01/2024,12/31/2024
10008,MSPB-1,1.14034,,01/01/2024,12/31/2024
10011,MSPB-1,0.960166,29.0,01/01/2024,12/31/2024
10012,MSPB-1,0.987621,,01/01/2024,12/31/2024
10016,MSPB-1,1.018382,,01/01/2024,12/31/2024
10018,MSPB-1,,1.0,01/01/2024,12/31/2024
10019,MSPB-1,1.099919,,01/01/2024,12/31/2024
10021,MSPB-1,0.990577,,01/01/2024,12/31/2024
10022,MSPB-1,0.972158,,01/01/2024,12/31/2024
10023,MSPB-1,1.005623,,01/01/2024,12/31/2024
10024,MSPB-1,1.023253,,01/01/2024,12/31/2024
10029,MSPB-1,0.95665,,01/01/2024,12/31/2024
10033,MSPB-1,0.968626,,01/01/2024,12/31/2024
10034,MSPB-1,0.982949,,01/01/2024,12/31/2024
10035,MSPB-1,0.991784,,01/01/2024,12/31/2024
10036,MSPB-1,0.9537,,01/01/2024,12/31/2024
10039,MSPB-1,1.025626,,01/01/2024,12/31/2024
10040,MSPB-1,1.07002,,01/01/2024,12/31/2024
10044,MSPB-1,1.074413,,01/01/2024,12/31/2024
10045,MSPB-1,0.925704,,01/01/2024,12/31/2024
10046,MSPB-1,0.972671,,01/01/2024,12/31/2024
10049,MSPB-1,0.907144,,01/01/2024,12/31/2024
10051,MSPB-1,,1.0,01/01/2024,12/31/2024
10052,MSPB-1,0.784735,,01/01/2024,12/31/2024
10055,MSPB-1,1.007914,,01/01/2024,12/31/2024
10056,MSPB-1,0.945657,29.0,01/01/2024,12/31/2024
10058,MSPB-1,1.057921,,01/01/2024,12/31/2024
10059,MSPB-1,0.995021,,01/01/2024,12/31/2024
10061,MSPB-1,0.939053,,01/01/2024,12/31/2024
10062,MSPB-1,0.962947,,01/01/2024,12/31/2024
10065,MSPB-1,0.953565,,01/01/2024,12/31/2024
10073,MSPB-1,1.040918,,01/01/2024,12/31/2024
10078,MSPB-1,1.028102,,01/01/2024,12/31/2024
10079,MSPB-1,1.064001,,01/01/2024,12/31/2024
10083,MSPB-1,0.97864,,01/01/2024,12/31/2024
10085,MSPB-1,1.011574,,01/01/2024,12/31/2024
10086,MSPB-1,1.004102,,01/01/2024,12/31/2024
10087,MSPB-1,0.981172,,01/01/2024,12/31/2024
10089,MSPB-1,0.949427,,01/01/2024,12/31/2024
10090,MSPB-1,0.952353,,01/01/2024,12/31/2024
10091,MSPB-1,,1.0,01/01/2024,12/31/2024
10092,MSPB-1,0.963285,,01/01/2024,12/31/2024
10095,MSPB-1,0.897038,,01/01/2024,12/31/2024
10097,MSPB-1,0.837991,,01/01/2024,12/31/2024
10099,MSPB-1,0.926512,,01/01/2024,12/31/2024
10100,MSPB-1,0.928414,,01/01/2024,12/31/2024
10101,MSPB-1,1.017571,,01/01/2024,12/31/2024
10103,MSPB-1,1.02068,,01/01/2024,12/31/2024
10104,MSPB-1,1.005174,,01/01/2024,12/31/2024
